cmpdname,isosmiles
"N,N-Dimethylstaurosporine",C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C)OC
Gabosine O,C[C@@H]1C[C@@H]([C@@H]([C@@H](C1=O)O)O)O
"(3R)-5,6,8-trihydroxy-3-methyl-isochroman-1-one",C[C@@H]1CC2=C(C(=CC(=C2O)O)O)C(=O)O1
(-)-Microperfuranone,C1=CC=C(C=C1)CC2=C(C(=O)OC2O)C3=CC=CC=C3
Arugosin F,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C=CC=C3OC2O)O
Sorazinone B,CC1=C(NC(=O)C(=N1)CC2=CC=CC=C2)CC3=CC=CC=C3
"(2E,4E)-2,4-Hexadienoic acid (1-oxo-6,6,9abeta-trimethyl-9balpha-hydroxy-1,3,5,5aalpha,6,7,8,9,9a,9b-decahydronaphtho[1,2-c]furan)-5beta-yl ester",C/C=C/C=C/C(=O)O[C@@H]1C=C2COC(=O)[C@@]2([C@@]3([C@@H]1C(CCC3)(C)C)C)O
Circumdatin E,COC1=CC2=C(C(=C1)O)N=C3[C@@H]4CCCN4C(=O)C5=CC=CC=C5N3C2=O
Sparoxomycin A2,CC1=C(C(=O)NC(=O)N1)/C=C/C(=O)N[C@@H](CO)C[S@@](=O)C[S@](=O)C
Neomangicol C,CC1=C2C[C@]3(C[C@@H]([C@]([C@H]3C4=C2C(=C(C=C4)C)C1)(C)C[C@@H]([C@@H]([C@](C)(CO)O)O)O)O)C
Memnobotrin A,CC(=O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@]3([C@@H]2CC4=C(C=C5C(=C4O3)CNC5=O)O)C)C
"2-[(3E)-4,8-dimethylnona-3,7-dienyl]-3,5-dihydroxy-8-(2-hydroxyethyl)-2-methyl-4,9-dihydro-3H-pyrano[2,3-e]isoindol-7-one",CC(=CCC/C(=C/CCC1(C(CC2=C(C=C3C(=C2O1)CN(C3=O)CCO)O)O)C)/C)C
Flagranone A,CC(=CCC/C(=C/C=C/C(=C/C(C12C(O1)C(=O)C(=CC2=O)COC(=O)C)OC(=O)C)/C)/C)C
"(3R,6S,9S,13S)-9-benzyl-3-[(2R)-butan-2-yl]-13-[(2S)-hexan-2-yl]-6-methyl-1-oxa-4,7,10-triazacyclotridecane-2,5,8,11-tetrone",CCCC[C@H](C)[C@@H]1CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)O1)[C@H](C)CC)C)CC2=CC=CC=C2
Xylobovide,CC[C@@H]1[C@H]2[C@H](C(=C)C(=O)O2)C(=O)O1
12-Hydroxy-6-epi-albrassitriol,C[C@]12CCCC([C@@H]1[C@@H](C=C([C@@]2(CO)O)CO)O)(C)C
Cytosporone A,CCCCCCCC(=O)C1=C(C=C(C=C1O)O)CC(=O)O
Falconensone A,C[C@@H]1CC(=C(C1=O)C)/C=C(\\C)/C=C/C=C/C=C/C=C(\\C)/C(=O)C
Maremycin D1,C[C@H]([C@H]1C(=O)NC(=C)C(=O)N1)[C@@]2(C3=CC=CC=C3N(C2=O)C)O
Kalkipyrone A,CC1=C(OC(=C(C1=O)C)OC)C/C=C(\\C)/C/C=C/C(=C/[C@@H](C)O)/C
Pandangolide 3,CC1CCCCCC(C(=O)C(CC(=O)O1)SCC(C(=O)OC)O)O
Kitamycin B,C[C@H]1[C@@H]([C@H](C(=O)O[C@@H]([C@@H](C(=O)O1)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)CCCC(C)C)O
"2-[2-[(3E)-4,8-dimethylnona-3,7-dienyl]-3,5-dihydroxy-2-methyl-7-oxo-4,9-dihydro-3H-pyrano[2,3-e]isoindol-8-yl]-3-hydroxypropanoic acid",CC(=CCC/C(=C/CCC1(C(CC2=C(C=C3C(=C2O1)CN(C3=O)C(CO)C(=O)O)O)O)C)/C)C
Streptenol E,C/C=C/CCC(=O)CC(CCNC(=O)C)O
Massarinolin C,C/C(=C\\[C@H](C[C@@]1([C@H]2CCC(=C)[C@@H]1C2)CO)O)/C(=O)O
Waol B,C/C=C/[C@H]1[C@H](/C(=C\\C(C(=O)OC)O)/[C@H](O1)/C=C/C)O
Dihydrobisdechlorogeodin,CC1=CC(=C2C(=C1)OC3(C2=O)C(CC(=O)C=C3OC)C(=O)OC)O
"(2S,3S)-3-[[(2S)-1-[4-aminobutyl(3-aminopropyl)amino]-3-(4-hydroxyphenyl)-1-oxopropan-2-yl]carbamoyl]oxirane-2-carboxylic acid",C1=CC(=CC=C1C[C@@H](C(=O)N(CCCCN)CCCN)NC(=O)[C@@H]2[C@H](O2)C(=O)O)O
candelalide C,CC1=C(OC(=C(C1=O)C[C@@H]2C(=C)CC[C@@H]3[C@@]2(CC[C@@H]4[C@]3(CC[C@@H](O4)C(C)(C)O)C)C)OC)C
Hexacyclinic acid,C[C@@H]1[C@H]([C@H]2[C@@H]([C@H]1OC(=O)C)C=C([C@@H]3[C@@H]2[C@H]4[C@@H](C3)[C@]5(CC[C@@H]6[C@H]([C@]([C@@H]4C(=O)O6)(O5)O)C)C)C(=O)O)O
"12,13-deoxyroridin E",CC1=C[C@@H]2[C@@]3(CC1)COC(=O)/C=C(/CCO[C@H](/C=C/C=C\\C(=O)O[C@H]4[C@]3(C(=C)[C@@H](C4)O2)C)[C@@H](C)O)\\C
"5-Nitrobenzene-1,3-diol",C1=C(C=C(C=C1O)O)[N+](=O)[O-]
Melanoxazal,CC(/C(=C\\C1=COC=N1)/C=O)O
Phosphonothrixin,CC(=O)C(CO)(CP(=O)(O)O)O
1-(3-Chloro-4-methoxyphenyl)-3-hydroxy-1-propanone,COC1=C(C=C(C=C1)C(=O)CCO)Cl
Putaminoxin B,CCCCCC1C/C=C/[C@H](CCCC(=O)O1)O
Pantocin B,C[C@@H](C(=O)NCNC(=O)C[C@H](C(=O)O)S(=O)(=O)C)N
"3,4,7a,7b-Tetrahydro-7-[(1,2,4a,5,6,7,8,8a-octahydro-2-methylnaphthalene-1-yl)carbonyl]-7,7b-dihydroxyfuro[2,3,4-gh]pyrrolidine-2,6(2aH,7H)-dione",CC1C=CC2CCCCC2C1C(=O)C3(C4C5(C(CCN5C3=O)C(=O)O4)O)O
Deoxynortrichoharzin,CC[C@@H](C)[C@H]1C=C[C@@H]2[C@@H]([C@@]1(C)C(=O)C)[C@@H](C[C@H]([C@H]2O)OC(=O)/C=C(\\C)/CC(=O)O)C
Sclerotiamide,CC1(C=CC2=C(O1)C=CC3=C2NC(=O)[C@@]34[C@@H]([C@]56[C@H](C4(C)C)C[C@@]7(CCCN7C5=O)C(=O)N6)O)C
Penigequinolone A,C[C@]1(CCC(CO1)(C)C)/C=C/C2=C(C3=C(C=C2)NC(=O)[C@@H]([C@]3(C4=CC=C(C=C4)OC)O)OC)O
Epispaeropsidone,COC1=CC(=O)[C@H]2[C@@H]([C@H]1O)O2
4-Acetyl-3-hydroxybenzoic acid,CC(=O)C1=C(C=C(C=C1)C(=O)O)O
Luisol B,C[C@@]1([C@@]23[C@H](C4=C(C=CC=C4O)[C@H]([C@@]2(O3)CO1)O)O)O
Oidiolactone D,C[C@]12CCC[C@]3([C@@H]1[C@@H]([C@@H]4[C@]5(C2=CC(=O)O[C@H]5O)O4)OC3=O)C
Flagranone C,C/C(=C\\C(C12C(O1)C(=O)C(=CC2=O)COC(=O)C)OC(=O)C)/C=O
"2,4,6-Octatrienoic acid (1R)-1alpha,9balpha-dihydroxy-6,6,9abeta-trimethyl-1,3,5,5aalpha,6,7,8,9,9a,9b-decahydronaphtho[1,2-c]furan-5beta-yl ester",C/C=C/C=C/C=C/C(=O)O[C@@H]1C=C2CO[C@H]([C@@]2([C@@]3([C@@H]1C(CCC3)(C)C)C)O)O
Feigrisolide C,CC[C@H](C[C@@H]1CC[C@H]([C@H](C(=O)O[C@H](C[C@H]2CC[C@H](O2)[C@@H](C(=O)O1)C)C)C)O)O
Mangicol B,C[C@H]1CC[C@@]23C1=C[C@]4(CC[C@]([C@H]4[C@@H]2C[C@H]([C@@H]3C)O)(C)C[C@@H]([C@@H]([C@](C)(CO)O)O)O)C
4'-Demethylamino-4'-hydroxystaurosporine,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)O)OC
Tetrodecamycin,C[C@@H]1[C@H]2[C@H]([C@@]3(CCCC[C@H]3[C@@]1(C(=O)C4=C(O2)C(=C)OC4=O)C)O)O
Citreopyrone C,CC1=C(OC(=O)C=C1OC)C=O
"2-(Hydroxymethyl)-3-[(1Z,3E)-1,3-pentadienyl]phenol",C/C=C/C=C\\C1=C(C(=CC=C1)O)CO
Macrophominol,CC([C@H]1C(=O)N2C=CC=C2C(=O)N1)O
Cucumin H,C[C@@]12CCC[C@@]1(C(=O)C3=C2[C@H](C(C3)(C)C)O)C
"5-hydroxy-6,8-dimethoxy-2,3-dimethyl-4H-naphtho[2,3-b]pyran-4-one",CC1=C(OC2=CC3=CC(=CC(=C3C(=C2C1=O)O)OC)OC)C
Cytosporone B,CCCCCCCC(=O)C1=C(C=C(C=C1O)O)CC(=O)OCC
Memnoconol,C/C(=C\\CC/C(=C/CC1=C(C=C2C(=C1O)COC2=O)O)/C)/CCC(C(C)(C)O)O
Feigrisolide D,CC[C@H]1C[C@H]2CC[C@H](O2)[C@@H](C(=O)O[C@@H](CC[C@H]([C@H](C(=O)O1)C)O)C[C@@H](CC)O)C
N-[(2S)-3-hydroxy-1-[[(2S)-1-[2-(hydroxymethyl)oxiran-2-yl]-4-methyl-1-oxopentan-2-yl]amino]-1-oxopropan-2-yl]-7-methyloctanamide,CC(C)CCCCCC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)C1(CO1)CO
(2S)-2-Amino-3-cyclopropylbutyric acid,CC(C1CC1)[C@@H](C(=O)O)N
"1,5-Dioxocane-2,6-dione, 4,8-dimethyl-",CC1CC(=O)OC(CC(=O)O1)C
Lachnumfuran A,CC1=CC2=C(O1)C(=O)[C@]3(C[C@H]3C(C)(C)O)[C@H](C2)O
Vertilecanin B,C1=CC=C(C=C1)[C@H](C2=CN=C(C=C2)C(=O)NCC(=O)O)O
Circumdatin F,C[C@H]1C2=NC3=CC=CC=C3C(=O)N2C4=CC=CC=C4C(=O)N1
Flagranone B,C/C(=C\\C(C12C(O1)C(=O)C(=CC2=O)COC(=O)C)OC(=O)C)/C=C/C=O
Mycestericin E,CCCCCCC(=O)CCCCCC/C=C/CC[C@H]([C@@](CO)(C(=O)O)N)O
Aranochlor B,CCCCCCC(C)/C=C(\\C)/C=C/C(=O)NC1C[C@@]2(C=C(C(=O)[C@@H]3[C@H]2O3)Cl)O[C@H]1O
(5R)-5beta-(4-Hydroxy-4-methylpentyl)tetrahydrofuran-2-one,CC(C)(CCC[C@@H]1CCC(=O)O1)O
Dictyophorine B,CC1=CC(=O)C[C@@]2([C@H]1C(=O)[C@H](CC2)C(=C)C)C
Dehydrobotrydienol,CC1=C(C2=C(C=C1)C(C[C@]2(C)CO)(C)C)CO
Neuchromenin,C[C@H]1CC(=O)C2=C(O1)C3=CC(=C(C=C3OC2)O)O
Euplectin,CC1=CC(=O)C2=C(O1)C3=C(C4=C(C=CC4=O)C=C3C=C2O)O
Memnobotrin B,CC(=O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@]3([C@@H]2CC4=C(C=C5C(=C4O3)CN(C5=O)CCO)O)C)C
candelalide B,CC1=C(OC(=C(C1=O)C[C@@H]2C(=C)CC[C@@H]3[C@@]2(CC[C@@H]4[C@]3(C[C@@H]([C@@H](O4)C(C)(C)O)O)C)C)OC)C
"(2E)-N-[(1S,5R,6R)-5-hydroxy-5-{(1E,3E,5E)-7-[(2-hydroxy-5-oxocyclopent-1-en-1-yl)amino]-7-oxohepta-1,3,5-trien-1-yl}-2-oxo-7-oxabicyclo[4.1.0]hept-3-en-3-yl]-4-methyloct-2-enamide",CCCCC(C)/C=C/C(=O)NC1=C[C@@]([C@H]2[C@@H](C1=O)O2)(/C=C/C=C/C=C/C(=O)NC3=C(CCC3=O)O)O
1-Ethenoxy-2-methylbenzene,CC1=CC=CC=C1OC=C
Sphaeric acid,CCCCCCCC[C@@H]([C@H](C)C(=O)O)C(=O)O
"1,6-Phenazinedicarboxylic acid dimethyl ester",COC(=O)C1=C2C(=CC=C1)N=C3C(=N2)C=CC=C3C(=O)OC
Cytosporin B,CCCCCC1=C([C@@H]2[C@@](C[C@H](C(O2)(C)C)O)([C@@H]([C@H]1O)Cl)O)C=O
Jerangolid A,CC[C@@H]1C(=CC[C@@H](O1)/C(=C/[C@H](C)/C=C/[C@H]2CC(=C(C(=O)O2)CO)OC)/C)C
Melleolide M,CC1=C(C(=CC(=C1Cl)O)O)C(=O)O[C@@H]2C[C@]3([C@@]2(C(=C[C@H]4[C@@H]3[C@H](C(C4)(C)C)O)CO)O)C
Musacin F,C/C=C/[C@@H](C1C(CC(=O)O1)O)O
"5-(3-Methyl-2-butenyl)-1H-indole-2,3-dione",CC(=CCC1=CC2=C(C=C1)NC(=O)C2=O)C
Decarboxycitrinone,CC1=C(OC(=O)C2=C(C=C(C(=C12)C)O)O)C
Isodihydroagarofuran,C[C@H]1CCC[C@@]2([C@]13C[C@@H](CC2)C(O3)(C)C)C
cytosporone C,CCCCCCCC1C2=C(CC(=O)O1)C=C(C=C2O)O
Falconensone B,CC1=C(CCC1=O)/C=C(\\C)/C=C/C=C/C=C/C=C(\\C)/C(=O)C
Peniamidienone,CCC/C=C/C=C/C\\1CC=CC(=O)/C1=C\\NC2=CC(OC2=O)C
Luisol A,C[C@H]1[C@@]2([C@H](C3=C(C=CC=C3O)[C@H]([C@@]24C[C@@H](O1)CC(=O)O4)O)O)O
Chlovalicin,CC(=CC[C@H]1[C@](O1)(C)[C@]2([C@@H](C(=O)CC[C@@]2(CCl)O)OC)O)C
Brevicompanine B,CC(C)C[C@@H]1C(=O)N2[C@@H](C[C@@]3([C@H]2NC4=CC=CC=C43)C(C)(C)C=C)C(=O)N1
Mollenine B,CC(C)C[C@@H]1C(=O)N2[C@H](C[C@@]3([C@H]2N(C4=CC=CC=C43)C=O)CC=C(C)C)C(=O)O1
Cystothiazole D,C[C@H]([C@H](/C=C/C1=CSC(=N1)C2=CSC(=N2)C(=C)C)O)/C(=C\\C(=O)OC)/OC
cyclotryprostatin A,CC(=C[C@H]1C2=C([C@@H]([C@]3(N1C(=O)[C@@H]4CCCN4C3=O)O)O)C5=C(N2)C=C(C=C5)OC)C
"2,6-Dichloro-5-hydroxy-8-methyl-1-[(1R,4R,5S,6S)-4,5,6-trihydroxy-3-(hydroxymethyl)cyclohex-2-en-1-yl]chromeno[2,3-b]pyrrol-4-one",CC1=CC(=C(C2=C1OC3=C(C2=O)C=C(N3[C@@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO)Cl)O)Cl
Pandangolide 4,CC1CCCCCC(C(=O)C(CC(=O)O1)SC2CC(=O)OC(CCCCCC(C2=O)O)C)O
Penienone,CCC/C=C/C=C/[C@@H]1CC=CC(=O)[C@H]1CO
"2,3,4,5-Tetrahydro-2,7-dihydroxy-5,8,10,10-tetramethyl-2,5-methano-1-benzoxepin",CC1=CC2=C(C=C1O)[C@]3(CC[C@](C3(C)C)(O2)O)C
"(E)-1-(2,3-dihydro-1H-pyrrol-1-yl)-2-methyldec-8-ene-1,3-dione",C/C=C/CCCCC(=O)C(C)C(=O)N1CCC=C1
Cyclo(L-Phe-4beta-hydroxy-D-Pro-),C1[C@H](CN2[C@H]1C(=O)N[C@H](C2=O)CC3=CC=CC=C3)O
Sclerotigenin,C1C2=NC3=CC=CC=C3C(=O)N2C4=CC=CC=C4C(=O)N1
Circumdatin G,C[C@H]1C2=NC3=C(C=CC=C3O)C(=O)N2C4=CC=CC=C4C(=O)N1
Resomycin C,CC1=C(C2=CC3=C(C(=C2C=C1)O)C(=O)C4=C(C3=O)C=CC=C4O)C(=O)OC
Verrucine A,C1=CC=C(C=C1)C[C@H]2C3=NC4=CC=CC=C4C(=O)N3[C@H](C(=O)N2)CCC(=O)N
Wailupemycin A,COC1=CC(=O)OC(=C1)C[C@]2(C[C@H](CC(=O)[C@]2(CC(=O)C3=CC=CC=C3)O)O)O
Dictyopanine B,CCC(C)/C=C(\\C)/C=C/C(=O)O[C@H]1CC[C@H]([C@]2(C1=CC(=O)[C@@H]2CC(=C)C=O)C)C(=O)O
"(2E,4E)-N-[(1S,2R,2'R,6R)-4-Chloro-2'-hydroxy-5-oxospiro[7-oxabicyclo[4.1.0]hept-3-ene-2,5'-oxolane]-3'-yl]-4,6-dimethyldodeca-2,4-dienamide",CCCCCCC(C)/C=C(\\C)/C=C/C(=O)NC1C[C@]2(C=C(C(=O)[C@H]3[C@@H]2O3)Cl)O[C@H]1O
Polyporusterone A,C[C@@H](C[C@H]([C@@](C)([C@H]1CC[C@@]2([C@@]1(CC[C@H]3C2=CC(=O)[C@H]4[C@@]3(C[C@@H]([C@@H](C4)O)O)C)C)O)O)O)C(C)C
(S)-5-[(S)-1-Hydroxy-2-butenyl]furan-2(5H)-one,C/C=C/[C@@H]([C@@H]1C=CC(=O)O1)O
Spaeropsidone,COC1=CC(=O)[C@H]2[C@@H]([C@@H]1O)O2
"(3R,7R)-3-Methyl-7,12,14-trihydroxy-3,4,5,6,7,8-hexahydro-1H-2-benzoxacyclododecin-1,9(10H)-dione",C[C@@H]1CCC[C@H](CC(=O)CC2=C(C(=CC(=C2)O)O)C(=O)O1)O
6-epi-3-Anhydroophiobolin B,CC1=CC(=O)[C@@H]/2[C@@H]1C[C@]3(CC[C@@]([C@@H]3C/C=C2/C=O)([C@@H](C)CCC=C(C)C)O)C
Melithiazol B,CC(C(/C=C/C1=CSC(=N1)C2=CSC(=N2)C(=C)C)OC)/C(=C\\C(=O)OC)/OC
Tenellic acid C,CC1=CC(=C(C(=C1)O)OC2=C(C(=C(C=C2)C(CC(C)C)OC(=O)C)OC)C(=O)O)C=O
"2-[(E)-7,8-dihydroxy-4,8-dimethylnon-3-enyl]-3,5-dihydroxy-8-(2-hydroxyethyl)-2-methyl-4,9-dihydro-3H-pyrano[2,3-e]isoindol-7-one",C/C(=C\\CCC1(C(CC2=C(C=C3C(=C2O1)CN(C3=O)CCO)O)O)C)/CCC(C(C)(C)O)O
"(4E,6E,10E)-trideca-4,6,10,12-tetraene-2,8-diol",CC(C/C=C/C=C/C(C/C=C/C=C)O)O
Secobotrytriendiol,C/C=C(/CO)\\C1=C(C(C[C@]1(C)CO)(C)C)C=C
Tagetolone,CC1=CC(=C(C(=C1CC(C)C(=O)CC(C)O)OC)C)O
10-Oxodehydrodihydrobotrydial,CC1=C2C3=C(C=C1)C(C[C@@]3(COC2=O)C)(C)C
Parimycin,CCC(C)(C1=CC(=O)C2=C(O1)C3=C(C=C2C)C(=C4C(=O)CCC(=O)C4=C3O)O)O
7-Hydroxy-beta-carboline-1-propionic acid,C1=CC2=C3C=CNC(=C3NC2=CC1=O)CCC(=O)O
Phthoxazolin A,C/C(=C/C=C\\C=C\\CC1=CN=CO1)/C(C(C)(C)C(=O)N)O
"Sterigmatocystin, O-methyl-(6CI)",COC1=CC=CC2=C1C(=O)C3=C(C=C4C(=C3O2)C5C=COC5O4)OC
Octalactin A,C[C@H]1CC[C@H](OC(=O)C[C@H]1O)[C@H](C)C(=O)[C@@]2([C@H](O2)C[C@@H](C(C)C)O)C
Sequoiatone E,CC1=C2C(=C(/C(=C\\C(=O)[C@@H](C)CCCCCCO)/[C@@]2(C)O)C(=O)OC)C=CO1
3-[(R)-1-Hydroxyethyl]-2-cyclopentene-1-one,C[C@H](C1=CC(=O)CC1)O
"3-Butyryl-4-(hydroxymethyl)-4,5-dihydrofuran-2(3H)-one",CCCC(=O)C1C(COC1=O)CO
"2,2-Dimethyl-2H-chromene-6-carbaldehyde",CC1(C=CC2=C(O1)C=CC(=C2)C=O)C
"9-Chloro-8-hydroxy-8,9-deoxyasperlactone",C[C@@H]([C@H]1C=C(C(=O)O1)C(C(C)Cl)O)O
Sequoiatone D,CC1=CC2=C(/C(=C\\C(=O)[C@@H](C)CCCCCCO)/[C@@](C2=CO1)(C)O)C(=O)OC
Acetosellin,C/C=C/C=C/C=C/C1=CC(=C2C3=C1C4=C(CO[C@@H](C4)CO)C(=O)[C@]3(OC2=O)C)O
"(4r,5s)-5-Hydroxyhexan-4-olide",C[C@@H]([C@H]1CCC(=O)O1)O
(+)-Sabinene,CC(C)[C@]12CCC(=C)[C@H]1C2
Dendryphiellic acid A,CC[C@H](C)/C=C/C=C/C(=O)O
"(3R,4R,5S)-4-hydroxy-5-methyl-3-(2-methylbutyl)oxolan-2-one",CCC(C)C[C@@H]1[C@H]([C@@H](OC1=O)C)O
4-Acetyl-3-methoxy-5-methylbenzoic acid,CC1=CC(=CC(=C1C(=O)C)OC)C(=O)O
Benzoylleucine Methyl Ester,CC(C)C[C@@H](C(=O)OC)NC(=O)C1=CC=CC=C1
"(3R,4R,4aR,9R)-3,9-Dihydroxy-1,4,4a,7-tetramethyl-3,4,4a,5,8,9-hexahydro-2H-benzocycloheptene-2-one",C[C@H]1[C@H](C(=O)C(=C2[C@@]1(CC=C(C[C@H]2O)C)C)C)O
Prelactone C,C/C=C/[C@@H]1[C@H]([C@@H](CC(=O)O1)O)C
Methylenomycin A,C[C@]12[C@@H](C(=C)C(=O)[C@]1(O2)C)C(=O)O
Drechslerine D,C[C@@]12CC[C@@H]([C@@H](C1=C)[C@@H]3[C@H]2COC3=O)C(C)(C)O
Dictyoquinazol B,COC1=CC2=C(C=C1)N(CN(C2)C3=C(C=C(C=C3)OC)CO)C=O
Ethyl Mycophenolate,CCOC(=O)CC/C(=C/CC1=C(C(=C2COC(=O)C2=C1O)C)OC)/C
Resomycin B,CC1=C(C2=CC3=C(C(=C2CC1)O)C(=O)C4=C(C3=O)C=CC=C4O)C(=O)OC
"1,2-Ethanediol, 1-(2-furanyl)-, (1R)-",C1=COC(=C1)[C@@H](CO)O
"(1S,2S,3R)-4-hydroxymethylcyclopent-4-ene-1,2,3-triol",C1=C([C@H]([C@H]([C@H]1O)O)O)CO
Sistodiolynne,C#CC#CC1=C[C@@H](C[C@@H]1O)O
Drechslerine A,CC(C)[C@H]1CC[C@@]2([C@H]([C@H]1C=C2CO)CO)C
Alliacol A,C[C@@H]1CC[C@@]2(C(=C)C(=O)O[C@]23[C@]14[C@H](O4)C(C3)(C)C)O
Cyclocalopin A,C[C@@H]1COC(=O)[C@@H]2[C@H]1[C@]3(CC=C(C(=O)[C@H]3O)C)[C@](O2)(C)O
Sequoiatone C,CCCCCC[C@H](C)C(=O)/C=C/1\\C(=C2C=COC(=C2[C@]1(C)O)C)C(=O)OC
Gilvocarcin M,CC1=CC2=C(C(=C1)OC)C3=C(C4=C(C=CC(=C4C(=C3)OC)O)[C@@H]5[C@@H]([C@H]([C@@H](O5)[C@@H](C)O)O)O)OC2=O
Trichoviridin,C[C@@H]([C@]1([C@H]2[C@H](O2)[C@@]3([C@H]1O3)[N+]#[C-])O)O
6-Hydroxy-4-methoxy-5-methyl-3H-2-benzofuran-1-one,CC1=C(C=C2C(=C1OC)COC2=O)O
Varioxirane,C[C@@H]1[C@H](O1)[C@@H]([C@@H](/C=C/C2=C(C(=CC=C2)OC)CO)O)O
Sphaeropsidin F,C[C@@]1(CC[C@]2(C(=C1)[C@@H]([C@@H]([C@@H]3[C@@]2([C@@H](CCC3(C)C)O)C)O)O)O)C=C
6-O-methylnidurufin,C[C@]12CCC[C@H](O1)C3=C(O2)C=C4C(=C3O)C(=O)C5=C(C4=O)C=C(C=C5OC)O
Aspergilsmin C,COC1C2=CC(=O)OC2=CCO1
"(3R)-7-(2-Butenyl)-6,8-dihydroxy-3,4-dihydro-3-(3-pentenyl)-1H-2-benzopyran-1-one",C/C=C/CC[C@@H]1CC2=CC(=C(C(=C2C(=O)O1)O)C/C=C/C)O
Sporothriolide,CCCCCC[C@@H]1[C@H]2[C@H](C(=C)C(=O)O2)C(=O)O1
Africantriol,C[C@@H]1[C@@H](C[C@@H]2[C@]1(CC([C@@H]([C@@H]3[C@]2(C3)C)O)(C)C)O)O
Heptelidic acid,CC(C)[C@H]1CC[C@@]2(CO2)[C@@H]3[C@@H]1C=C(COC3=O)C(=O)O
Cryphonectric acid,C1=C(C=C(C(=C1O)C2C3=C(C(=CC(=C3)O)O)C(=O)O2)O)C(=O)O
Sphaeropsidin E,C[C@]12CCCC([C@@H]1C[C@H](C3=C2[C@H](C[C@]([C@@H]3O)(C)C=C)O)O)(C)C
Resomycin A,C[C@]1(CCC2=C(C3=C(C=C2[C@@H]1C(=O)OC)C(=O)C4=C(C3=O)C(=CC=C4)O)O)O
"(3Z,5E,8S,9E,11Z,14S,16R,17E,19E,24R)-8,14,16-trihydroxy-24-methyl-1-oxacyclotetracosa-3,5,9,11,17,19-hexaen-2-one",C[C@@H]1CCC/C=C/C=C/[C@@H](C[C@H](C/C=C\\C=C\\[C@H](C/C=C/C=C\\C(=O)O1)O)O)O
Isokotanin A,CC1=C2C(=CC(=C1C3=C(C=C4C(=C3C)C(=CC(=O)O4)OC)OC)OC)OC(=O)C=C2OC
"1beta,7alpha-Dimethylbicyclo[4.4.0]dec-5-en-4-one",C[C@@H]1CCC[C@]2(C1=CC(=O)CC2)C
Columbetdione,CCC(=O)C1=C(CCC1O)C(=O)C
Alboatrin,C[C@@H]1CO[C@]2([C@@H]1CC3=C(O2)C=C(C=C3C)O)C
"7-Epi-ent-eudesmane-5,11-diol",C[C@H]1CCC[C@@]2([C@@]1(C[C@@H](CC2)C(C)(C)O)O)C
Syringolide 2,CCCCCCC[C@@]1([C@H]2C(=O)OC[C@@]23[C@@H](O1)[C@@H](CO3)O)O
microsphaerone B,C1=C(OC=C(C1=O)C(=O)N)/C=C/C=C/CCCCCCC(=O)O
Rubiginone B2,C[C@H]1CC2=C(C(=O)C1)C3=C(C=C2)C(=O)C4=C(C3=O)C=CC=C4OC
Sterin B,CC(C)(/C=C/C1=C(C=CC(=C1)C=O)O)O
Cladospolide D,CC1CCCCCC(C(=O)/C=C/C(=O)O1)O
Scopariol,CC1=CC[C@](C(=C)[C@@]12CC[C@@](C=C2)(C)O)(C)O
Cordypyridone C,C[C@@H]1C[C@@H]([C@H]2C3=C(C=CN(C3=O)OC)O[C@H]([C@@]2(C1)C)C)C
Fuscoatramide,C/C(=C/C(=O)NCCCC(=O)O)/CCO
"Cyclosordariolone, (rac)-",CC1(C2=C(C=CC1=O)C(=C(C=C2)O)CO)O
Trichodermamide A,COC1=C(C2=C(C=C1)C=C(C(=O)O2)NC(=O)C3=NO[C@H]4[C@@H](C=C[C@H]([C@]4(C3)O)O)O)OC
CID 10983639,CC1(C=COC2=C(O1)C=CC3=C2NC(=O)[C@@]34C[C@@]56CN7CCCC[C@]7(C[C@H]5C4(C)C)C(=O)N6C)C
Azatyrosine,C1=CC(=NC=C1O)C[C@@H](C(=O)O)N
Pentalenic acid,C[C@@H]1CC[C@@H]2[C@]13CC([C@@H]([C@H]3C=C2C(=O)O)O)(C)C
Xyloketal A,C[C@H]1CO[C@]2([C@@H]1CC3=C4C(=C5C(=C3O2)C[C@@H]6[C@H](CO[C@@]6(O5)C)C)C[C@@H]7[C@H](CO[C@@]7(O4)C)C)C
"2,4-dimethyl-1H-indole",CC1=C2C=C(NC2=CC=C1)C
"8-Chloro-9-hydroxy-8,9-deoxyasperlactone",C[C@@H]([C@H]1C=C(C(=O)O1)C(C(C)O)Cl)O
Scorpinone,CC1=CC2=C(C=N1)C(=O)C3=C(C2=O)C=C(C=C3OC)OC
